"","X.x","primacy_agency_code","pwsid","centroid_lat","centroid_lon","DAC_pre","DAC_post","pop.x","urban","rural","pop_adjust.x","urban_adjust","rural_adjust","pop.y","hisp","white","black","aian","asian","nhpi","other","pop_adjust.y","hisp_adjust","white_adjust","black_adjust","aian_adjust","asian_adjust","nhpi_adjust","other_adjust","...1","mhi_all_weighted","mhi_all_unweighted","mhi_centroid_weighted","mhi_centroid_unweighted","StateCode","PopulationServedCount","X.y","health_based_count","total_count","white_percent","hisp_percent","black_percent","aian_percent","asian_percent","nhpi_percent","other_percent","urban_percent","rural_percent","X","PARTY"
"1",1,"AK","AK2120143",56.1807793,-132.0267878,1,0,1086,0,1086,582.652816597758,0,582.652816597758,1086,33,681,1,205,21,1,144,582.652829749226,17.2844472705196,373.006839283208,0.000206480777728078,101.144048169779,15.5889749377805,0.740122909675655,74.888190697486,NA,60839.3529770992,64140.5,54090.1443108233,55308,"AK",2300,705,4,9,64.0187123855126,2.96650876611357,3.54380459830508e-05,17.3592305753173,2.67551690163248,0.127026399235752,12.8529695341423,0,100,498,"Democrat"
"2",2,"AK","AK2280163",62.9826981,-156.0838288,1,0,56,0,56,55.4640611536351,0,55.4640611536351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38375,38375,NA,NA,"AK",70,1417,0,236,NA,NA,NA,NA,NA,NA,NA,0,100,499,"Democrat"
"3",3,"AK","AK2300272",66.0452165,-154.2376273,1,0,86,0,86,84.4838320177508,0,84.4838320177508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32778,32778,NA,NA,"AK",107,1460,3,130,NA,NA,NA,NA,NA,NA,NA,0,100,500,"Democrat"
"4",4,"AK","AK2372075",64.152772,-145.9064127,1,0,71,0,71,70.8214049329043,0,70.8214049329043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71724,71724,NA,NA,"AK",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,501,"Democrat"
"5",5,"AK","AK2272756",60.8109933,-164.49911,1,0,99,0,99,81.5694845261598,0,81.5694845261598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39063,39063,NA,NA,"AK",170,1411,0,422,NA,NA,NA,NA,NA,NA,NA,0,100,502,"Democrat"
"6",6,"AK","AK2300214",67.0909442,-157.8870972,1,0,278,0,278,273.994207414422,0,273.994207414422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41250,41250,NA,NA,"AK",261,1457,5,52,NA,NA,NA,NA,NA,NA,NA,0,100,503,"Democrat"
"7",7,"AK","AK2260820",60.8817393,-162.4645692,1,0,1217,0,1217,593.981455392161,0,593.981455392161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41100,41100,NA,NA,"AK",496,1276,10,26,NA,NA,NA,NA,NA,NA,NA,0,100,504,"Democrat"
"8",8,"AK","AK2270215",60.5274122,-165.1069234,1,0,476,0,476,392.704826123919,0,392.704826123919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39063,39063,NA,NA,"AK",661,1343,0,7,NA,NA,NA,NA,NA,NA,NA,0,100,505,"Democrat"
"9",9,"AK","AK2260090",58.7395231,-158.9145006,1,0,490,0,490,487.954388737088,0,487.954388737088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62704.1884057971,64523,NA,NA,"AK",293,1247,8,229,NA,NA,NA,NA,NA,NA,NA,0,100,507,"Democrat"
"10",10,"AK","AK2225511",61.5155468,-149.97553,1,0,6485,0,6485,3833.6344060426,0,3833.6344060426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65902.3537079443,60866.9,56233.4308286517,56129.25,"AK",180,1027,0,6,NA,NA,NA,NA,NA,NA,NA,0,100,508,"Democrat"
"11",11,"AK","AK2312813",64.9256133,-147.4350582,0,0,7430,1647,5783,6430.10470727713,1460.47570071686,4969.62900656027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87438.8824885973,98752.25,122481.973216653,122297.5,"AK",310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7130935996113,77.2869064003888,509,"Democrat"
"12",12,"AK","AK2224256",61.594553,-149.353423,1,0,872,872,0,158.179929434337,158.179929434337,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95035.5,95035.5,NA,NA,"AK",170,1005,0,4,NA,NA,NA,NA,NA,NA,NA,100,0,510,"Democrat"
"13",13,"AK","AK2262246",58.96455,-158.98551,1,0,323,0,323,1.37059602222328,0,1.37059602222328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45921,45921,NA,NA,"AK",215,1301,5,248,NA,NA,NA,NA,NA,NA,NA,0,100,511,"Democrat"
"14",14,"AK","AK2340230",66.9725865,-160.4343641,1,0,449,0,449,432.703967116157,0,432.703967116157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54750,54750,NA,NA,"AK",455,1557,2,14,NA,NA,NA,NA,NA,NA,NA,0,100,512,"Democrat"
"15",15,"AK","AK2260252",54.1399791,-165.7630263,0,0,1589,0,1589,248.03962764031,0,248.03962764031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86875,86875,NA,NA,"AK",95,1254,0,428,NA,NA,NA,NA,NA,NA,NA,0,100,513,"Democrat"
"16",16,"AK","AK2271059",58.9525827,-161.7470318,1,0,55,0,55,54.3195323960784,0,54.3195323960784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31463,31463,NA,NA,"AK",51,1372,0,433,NA,NA,NA,NA,NA,NA,NA,0,100,514,"Democrat"
"17",17,"AK","AK2271211",60.4102686,-162.6696818,1,0,469,0,469,468.999999999939,0,468.999999999939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43468.9226618705,42946,NA,NA,"AK",350,1377,11,111,NA,NA,NA,NA,NA,NA,NA,0,100,515,"Democrat"
"18",18,"AK","AK2272016",60.8638198,-162.5365979,1,0,950,0,950,622.490348618082,0,622.490348618082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41100,41100,NA,NA,"AK",276,1404,0,26,NA,NA,NA,NA,NA,NA,NA,0,100,516,"Democrat"
"19",19,"AK","AK2224159",61.7312481,-149.2836422,1,0,8425,928,7497,5050.44611179817,328.382377392704,4722.06373440547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88877.6450625159,86529.125,91906.0008581849,91241,"AK",63,1001,4,8,NA,NA,NA,NA,NA,NA,NA,6.50204695037893,93.4979530496211,517,"Democrat"
"20",20,"AK","AK2120224",55.224061,-132.807487,1,0,3,0,3,0.0522097667718544,0,0.0522097667718544,3,2,1,0,0,0,0,0,0.0560383813281724,0.0373589208854482,0.0186794604427241,0,0,0,0,0,NA,52000,52000,NA,NA,"AK",415,709,53,177,33.3333333333333,66.6666666666667,0,0,0,0,0,0,100,518,"Democrat"
"21",21,"AK","AK2226021",61.57117,-149.12135,1,0,581,503,78,160.693005409104,152.316286734856,8.37671867424821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75685.2927282378,70752.5,NA,NA,"AK",168,1039,2,4,NA,NA,NA,NA,NA,NA,NA,94.7871292512564,5.21287074874363,519,"Democrat"
"22",22,"AK","AK2211198",61.1742503,-149.2843294,0,0,291627,278813,12814,290978.418562289,278795.967154786,12182.4514075027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98913.9930648607,94038.2731958763,97553.3606279804,93067.4426229508,"AK",160,780,0,2,NA,NA,NA,NA,NA,NA,NA,95.8132800818371,4.18671991816287,520,"Democrat"
